Amp_range,Avg_amp,Freq_range,Pulses_per_Sec,Partials,MFCC,Duration,Zero_Crossings,Sex,Age,Species,Call
0.19438666,0.019691724,6038.0,531.5,6,-10.251707,4,4357,Male,Adult,L. lynx,growl
0.42572576,0.02701261,5938.0,1075.0,6,-10.251707,1,1837,Male,Adult,L. lynx,roar?
0.37019363,0.02372386,9921.333333333334,733.0,13,-10.251707,6,7398,Male,Adult,L. lynx,growl
0.15535276,0.024255529,8035.0,559.0,5,-10.251707,3,2932,Male,Adult,L. lynx,growl
0.47894573,0.058408674,9027.0,2318.0,13,-10.251707,1,3507,Male,Adult,L. lynx,roar?
0.17580421,0.022830319,6252.0,2280.0,6,-10.251707,1,4033,Male,Adult,L. lynx,roar?
0.13436136,0.022824194,2591.0,344.5,7,-10.251707,4,2943,Male,Adult,L. lynx,growl
0.14216721,0.018137872,7535.833333333333,671.1666666666666,7,-10.251707,6,7657,Male,Adult,L. lynx,growl
0.56398064,0.037000537,10044.5,1784.5,27,-17.741884,2,6577,Male,Adult,Bobcat,main call
0.2775567,0.024668049,9283.0,1905.0,6,-17.741884,1,3236,Male,Adult,Bobcat,main call
0.302071,0.021553503,10209.5,1719.0,8,-17.741884,2,7030,Male,Adult,Bobcat,main call
0.3284805,0.023887582,9814.0,2023.0,9,-17.741884,1,4550,Male,Adult,Bobcat,main call
0.61723936,0.02205234,10091.0,1938.0,11,-17.741884,2,10427,Male,Adult,Bobcat,main call
0.20592788,0.020910788,5337.0,1820.0,5,-17.741884,1,4475,Male,Adult,Bobcat,main call
0.09226034,0.012857707,9877.0,2942.0,6,-17.741884,1,6053,Male,Adult,Bobcat,main call
0.097001955,0.011981352,10065.285714285714,1417.142857142857,2,-22.616526,14,50145,Female,Adult,Bobcat,growl
0.10440008,0.008149701,10317.05882352941,1390.4705882352941,0,-22.616526,17,73062,Female,Adult,Bobcat,growl
0.19643489,0.009915613,10324.25,2196.5,2,-22.616526,4,20696,Female,Adult,Bobcat,growl
0.092417926,0.015643852,2797.75,1178.5,7,-15.120927,4,9803,,Adult,Ocelot,main call
0.054401282,0.009245719,1140.8,191.0,4,-15.120927,5,2306,,Adult,Ocelot,growl
0.07289242,0.0063285013,3838.9999999999995,293.85714285714283,2,-27.059156,7,11985,Male,Adult,Ocelot,growl
0.033938874,0.0034237504,2218.1428571428573,145.0,0,-27.059156,7,12028,Male,Adult,Ocelot,growl
0.04401131,0.0056809536,5421.666666666666,235.16666666666666,4,-27.059156,6,12630,Male,Adult,Ocelot,growl
0.17190357,0.0056975614,7227.25,281.5833333333333,0,-27.059156,12,19845,Male,Adult,Ocelot,growl
0.03693322,0.006344956,2302.125,254.5,2,-27.059156,8,11623,Male,Adult,Ocelot,growl
0.08458424,0.012530558,8660.0,468.875,5,-27.059156,8,10696,Male,Adult,Ocelot,growl
0.065101825,0.010658171,6801.777777777777,339.44444444444446,6,-27.059156,9,12573,Male,Adult,Ocelot,growl
0.026366528,0.003861522,2149.75,151.5,2,-27.059156,4,9924,Male,Adult,Ocelot,growl
0.035754684,0.0064746193,3732.7000000000003,250.7,3,-27.059156,10,11949,Male,Adult,Ocelot,growl
0.065374225,0.0073595727,2149.1666666666665,272.8333333333333,5,-27.059156,12,18246,Male,Adult,Ocelot,growl
0.015951537,0.0023003232,499.49999999999994,94.66666666666667,0,-27.059156,6,8017,Male,Adult,Ocelot,growl
0.05743959,0.0054188394,3889.7142857142853,352.57142857142856,1,-27.059156,7,14418,Male,Adult,Ocelot,growl
0.0811186,0.009956659,4827.4,474.2,9,-27.059156,5,9091,Male,Adult,Ocelot,growl
0.07198354,0.0064496733,3901.2000000000003,531.4,5,-27.059156,5,14344,Male,Adult,Ocelot,growl
0.06491442,0.0053193457,3128.0,319.5,2,-27.059156,6,13812,Male,Adult,Ocelot,growl
